IdCaso,Id,COD_DANE_MUN,DIAH,MESH,ANNOH,DEPTO_CASO,MUNINICIO_CASO,Sexo,Etnia,OcupacionVictima,CalidadVictima,TipoPoblacionVulnerable,MilitantePolitico,Grupo,DESCRIPCION_GRUPO,Estado
203946,226341,47189,3,5,2000,Magdalena,Ciénaga,H,,Sin información,Civil,,,,,Publicado
203946,226342,47189,3,5,2000,Magdalena,Ciénaga,M,,No aplica,Civil,,,,,Publicado
199716,226343,27205,3,6,2008,Chocó,Condoto,H,,Sin información,Civil,,,,,Publicado
199208,226344,54001,11,1,2007,Norte de santander,Cúcuta,H,,Sin información,Civil,,,,,Publicado
194140,226345,13244,17,8,2000,Bolívar,El carmen de bolívar,M,,Sin información,Civil,,,,,Publicado
191489,226346,18205,29,11,1996,Caquetá,Curillo,M,,No aplica,Civil,,,,,Publicado
191489,226347,18205,29,11,1996,Caquetá,Curillo,M,,Sin información,Civil,,,,,Publicado
191489,226348,18205,29,11,1996,Caquetá,Curillo,H,,Sin información,Civil,,,,,Publicado
193301,226349,18001,17,10,1999,Caquetá,Florencia,H,,Sin información,Civil,,,,,Publicado
193301,226350,18001,17,10,1999,Caquetá,Florencia,H,,Sin información,Civil,,,,,Publicado
193301,226351,18001,17,10,1999,Caquetá,Florencia,H,,Sin información,Civil,,,,,Publicado
195308,226353,18001,10,11,2001,Caquetá,Florencia,H,,Estudiante,Civil,,,,,Publicado
195308,226354,18001,10,11,2001,Caquetá,Florencia,M,,Sin información,Civil,,,,,Publicado
193818,226355,76109,6,4,2000,Valle del cauca,Buenaventura,H,,Sin información,Civil,,,,,Publicado
193818,226356,76109,6,4,2000,Valle del cauca,Buenaventura,H,,Sin información,Civil,,,,,Publicado
193818,226357,76109,6,4,2000,Valle del cauca,Buenaventura,H,,Sin información,Civil,,,,,Publicado
186386,226359,11001,13,9,2011,"Bogotá, d.c.","Bogotá, d.c.",H,,Sin información,Civil,,,,,Publicado
186386,226360,11001,13,9,2011,"Bogotá, d.c.","Bogotá, d.c.",H,,Sin información,Civil,,,,,Publicado
186355,226362,54800,28,6,2007,Norte de santander,Teorama,H,,Conductor/motorista,Civil,,,,,Publicado
